file,string,begin,end,value,timex3Class
ES100447.xml,enero de 2004,41,54,2004-01,DATE
ES100447.xml,enero de 2006,317,330,2006-01,DATE
ES100447.xml,postoperatoria,401,415,NO_VALUE,PREPOSTEXP
ES100447.xml,abril de 2006,421,434,2006-01,DATE
ES100447.xml,3 meses,525,532,P3M,DURATION
ES100447.xml,postquirúrgico,1699,1713,NO_VALUE,PREPOSTEXP
ES100447.xml,tres meses,1901,1911,P3M,DURATION
ES100686.xml,el siguiente mes,131,147,P1M,DURATION
ES100686.xml,Cinco días más tarde,379,399,XXXX-XX-XX,DATE
ES100686.xml,intervalos de cuatro semanas,494,522,P4W,DURATION
ES100686.xml,postoperatoria,628,642,NO_VALUE,PREPOSTEXP
ES100526.xml,el término de 8 meses,132,153,P8M,DURATION
ES100526.xml,los 4 meses,259,270,P4M,DURATION
ES100042.xml,8 meses,194,201,P8M,DURATION
ES100042.xml,los últimos 6 meses,333,352,P6M,DURATION
ES100042.xml,los 3 meses,913,924,P3M,DURATION
ES100042.xml,días antes,1118,1128,PXD,DURATION
ES100042.xml,días consecutivos,1916,1933,XXXX-XX-XX,DATE
ES100042.xml,diaria nocturna,2796,2811,P1D,SET
ES100042.xml,3 meses,2812,2819,P3M,DURATION
ES100042.xml,días alternos,2837,2850,P2D,SET
ES100042.xml,6 meses,2859,2866,P6M,DURATION
ES100042.xml,diaria,2910,2916,P1D,SET
ES100042.xml,6 meses,2917,2924,P6M,DURATION
ES100042.xml,45 días,2950,2957,P45D,DURATION
ES100042.xml,días alternos,2978,2991,P2D,SET
ES100042.xml,45 días,3006,3013,P45D,DURATION
ES100042.xml,del tercer mes,3196,3210,XXXX-XX,DATE
ES100042.xml,Actualmente,3228,3239,PRESENT_REF,DATE
ES100042.xml,al año,3241,3247,XXXX-XX-XX,DURATION
ES100650.xml,el postoperatorio,1245,1262,NO_VALUE,PREPOSTEXP
ES100650.xml,el 5º día postoperatorio,1319,1343,XXXX-XX-XX,DATE
ES100650.xml,3 años,1769,1775,P3Y,DURATION
ES100320.xml,15 días,45,52,P15D,DURATION
ES100320.xml,los días siguientes,1851,1870,PXD,DURATION
ES100320.xml,tres semanas más tarde,2321,2343,XXXX-XX-XX,DATE
ES100320.xml,varias semanas,3821,3835,PXW,DURATION
ES100280.xml,los 5 años,190,200,P5Y,DURATION
ES100280.xml,Seis meses después,448,466,XXXX-XX-XX,DATE
ES100280.xml,poco después,826,838,FUTURE_REF,DATE
ES100519.xml,4 días antes,281,293,XXXX-XX-XX,DATE
ES100519.xml,ese momento,344,355,XXXX-XX-XX,DATE
ES100519.xml,las 48 horas,408,420,PT48H,DURATION
ES100519.xml,las 24 horas,1454,1466,PT24H,DURATION
ES100519.xml,las 48 horas,1577,1589,PT48H,DURATION
ES100519.xml,El sexto día postingreso,1774,1798,XXXX-XX-XX,DATE
ES100519.xml,los 15 días,2193,2204,P15D,DURATION
ES100519.xml,los 20 días,2643,2654,P20D,DURATION
ES100519.xml,Dos meses,3261,3270,P2M,DURATION
